INSTNM,NPT4_COMBINED
Design Institute of San Diego,31293
Design's School of Cosmetology,17968
Designer Barber & Stylist School,16010
Detroit Business Institute-Downriver,21533
Dewey University-Carolina,3645
Dewey University-Hato Rey,4704
Dewey University-Juana Diaz,4142
Dewey University-Manati,4039
DiGrigoli School of Cosmetology,18701
Diablo Valley College,6142
Diamond Beauty College,9494
Diamonds College,20905
Dickinson College,32191
Dickinson State University,15270
Diesel Driving Academy-Baton Rouge,15214
Diesel Driving Academy-Shreveport,15123
DigiPen Institute of Technology,42033
Digital Film Academy,55151
Digital Media Institute,11872
Dillard University,18553
Diman Regional Technical Institute,20861
Dine College,10218
Divers Institute of Technology,40497
Diversified Vocational College,21444
Doane University,28071
Dodge City Community College,6147
Dolce The Academy,11539
Dominican University,15113
Dominican University New York,26187
Dominican University of California,50218
Don Roberts School of Hair Design,16132
Donnelly College,15025
Dordt University,25383
Dorsey College,22079
Dorsey College-Dearborn,22173
Dorsey College-Roseville,23871
Dorsey College-Saginaw,23242
Dorsey College-Wayne,24752
Dorsey College-Woodhaven,26241
Dorsey School of Beauty,22138
Douglas Education Center,26922
Douglas J Aveda Institute,25937
Downey Adult School,13102
Dr. Ida Rolf Institute,38347
Drake University,30042
Drew University,25644
Drexel University,38428
Drury University,21523
Drury University-College of Continuing Professional Studies,13375
DuVall's School of Cosmetology,17859
Duke University,34454
Dunwoody College of Technology,27023
Duquesne University,34978
Durant Institute of Hair Design,15709
Durham Technical Community College,1183
Dutchess BOCES-Practical Nursing Program,34342
Dutchess Community College,8433
Dyersburg State Community College,4322
Dymond Designs Beauty School,20750
ECPI University,20473
EDP School,11808
EDP University of Puerto Rico Inc-San Juan,4989
EDP University of Puerto Rico Inc-San Sebastian,4496
EDP University of Puerto Rico-Humacao,8618
EDP University of Puerto Rico-Manati,7619
EDP University of Puerto Rico-Villalba,8121
EINE Inc,36029
ETI School of Skilled Trades,27351
ETI Technical College,13775
Ea La Mar's Cosmetology & Barber College,29747
Eagle Gate College-Boise Campus,29546
Eagle Gate College-Layton,32097
Eagle Gate College-Murray,28945
Earlham College,24516
East Arkansas Community College,6769
East Carolina University,16514
East Central College,12522
East Central Community College,5770
East Central University,9287
East Georgia State College,9380
East Los Angeles College,9791
East Mississippi Community College,3880
East Ohio College,17180
East Stroudsburg University of Pennsylvania,15089
East Tennessee State University,15794
East Texas Baptist University,23790
East Valley Institute of Technology,16847
East-West Healing Arts Institute,31572
East-West University,21055
Eastern Arizona College,9765
Eastern Center for Arts and Technology,21350
Eastern Connecticut State University,20480
Eastern Florida State College,5939
Eastern Gateway Community College,4181
Eastern Illinois University,14093
Eastern International College-Jersey City,23532
Eastern Iowa Community College District,9722
Eastern Kentucky University,9962
Eastern Maine Community College,8036
Eastern Mennonite University,23615
Eastern Michigan University,17084
Eastern Nazarene College,17733
Eastern New Mexico University Ruidoso Branch Community College,4230
Eastern New Mexico University-Main Campus,6199
Eastern New Mexico University-Roswell Campus,4171
Eastern Oklahoma County Technology Center,7980
Eastern Oklahoma State College,11020
Eastern Oregon University,15987
Eastern Shore Community College,4975
Eastern Suffolk BOCES,23478
Eastern Suffolk BOCES,7999
Eastern Suffolk BOCES,8762
Eastern University,25885
Eastern Virginia Career College,39005
Eastern Washington University,13091
Eastern West Virginia Community and Technical College,8398
Eastern Wyoming College,4989
Eastland-Fairfield Career and Technical Schools,13731
Eastwick College-Hackensack,35162
Eastwick College-Nutley,17537
Eastwick College-Ramsey,28162
Ecclesia College,24294
Eckerd College,33011
Edge Academy of Beauty,14491
Edgecombe Community College,6073
Edgewood College,25634
Edison State Community College,8503
Edmonds College,13461
Educators of Beauty College of Cosmetology-Peru,11384
Educators of Beauty College of Cosmetology-Rockford,12359
Educators of Beauty College of Cosmetology-Sterling,13521
Edward Waters University,13580
El Camino Community College District,5170
El Paso Community College,4154
Elaine Sterling Institute,23335
Electrical and HVAC/R Training Center,18341
Elevate Salon Institute,14092
Elevate Salon Institute,23554
Elevate Salon Institute-Westminster,14235
Elgin Community College,5778
Elim Bible Institute and College,9641
Elite Academy of Hair Design,13208
Elite Beauty College,8202
Elite College of Cosmetology,12696
Elite Cosmetology Barber & Spa Academy,17970
Elite Cosmetology School,17818
Elite School of Cosmetology,22462
Elite Welding Academy,21504
Elite Welding Academy LLC,27702
Elite Welding Academy South Point,30807
Elizabeth City State University,7237
Elizabethtown College,26198
Elizabethtown Community and Technical College,5594
Ellsworth Community College,10915
Elmhurst University,21063
Elmira College,23735
Elon University,41048
Elyon College,12833
Embry-Riddle Aeronautical University-Daytona Beach,40289
Embry-Riddle Aeronautical University-Prescott,39983
Embry-Riddle Aeronautical University-Worldwide,19733
Emerald Coast Technical College,15106
Emerson College,46766
Emily Griffith Technical College,7003
Emma's Beauty Academy-Juana Diaz,3569
Emma's Beauty Academy-Mayaguez,3772
Emmanuel College,31569
Emmanuel University,19297
Emmaus Bible College,12904
Emory & Henry University,20591
Emory University,23911
Emory University-Oxford College,30622
Empire Beauty  School-Lehigh Valley,18671
Empire Beauty School-Augusta,16890
Empire Beauty School-Aurora,17289
Empire Beauty School-Avondale,15173
Empire Beauty School-Bloomfield,17491
Empire Beauty School-Bloomington,17164
Empire Beauty School-Brooklyn,18430
Empire Beauty School-Buffalo,16087
Empire Beauty School-Center City Philadelphia,18228
Empire Beauty School-Chandler,16662
Empire Beauty School-Charlotte,16126
Empire Beauty School-Cheltenham,18891
Empire Beauty School-Chenoweth,14876
Empire Beauty School-Cherry Hill,20034
Empire Beauty School-Cincinnati,16707
Empire Beauty School-Concord,15759
Empire Beauty School-Dixie,16271
Empire Beauty School-E Memphis,15895
Empire Beauty School-Elizabethtown,16588
Empire Beauty School-Florence,15669
Empire Beauty School-Glen Burnie,17129
Empire Beauty School-Green Bay,15071
Empire Beauty School-Gwinnett,15507
Empire Beauty School-Hanover,16832
Empire Beauty School-Harrisburg,17299
Empire Beauty School-Hooksett,10187
Empire Beauty School-Jackson,13699
Empire Beauty School-Kennesaw,17036
Empire Beauty School-Laconia,9538
Empire Beauty School-Lakeland,18028
Empire Beauty School-Lancaster,16660
Empire Beauty School-Lebanon,18220
Empire Beauty School-Littleton,17149
Empire Beauty School-Maine,16411
Empire Beauty School-Malden,18689
Empire Beauty School-Manhattan,19553
Empire Beauty School-Michigan,16486
Empire Beauty School-Midlothian,16821
Empire Beauty School-Milwaukee,15591
Empire Beauty School-Monroeville,17004
Empire Beauty School-Morrow,16313
Empire Beauty School-NE Philadelphia,17950
Empire Beauty School-Nashville,13888
Empire Beauty School-Newport News,14963
Empire Beauty School-North Hills,17807
Empire Beauty School-Northlake,15771
Empire Beauty School-Owings Mills,16462
Empire Beauty School-Peekskill,18627
Empire Beauty School-Pineville,16090
Empire Beauty School-Pottsville,17399
Empire Beauty School-Queens,18439
Empire Beauty School-Reading,18390
Empire Beauty School-Richmond,17079
Empire Beauty School-Rochester,17701
Empire Beauty School-Savannah,17452
Empire Beauty School-Shamokin Dam,17699
Empire Beauty School-Somersworth,10198
Empire Beauty School-Speedway,17267
Empire Beauty School-Spring Lake Park,17445
Empire Beauty School-Springfield,17417
Empire Beauty School-Stone Park,16869
Empire Beauty School-Tampa,18774
Empire Beauty School-Thornton,15322
Empire Beauty School-Tucson,16609
Empire Beauty School-Union,18215
Empire Beauty School-Vernon Hills,15388
Empire Beauty School-Virginia Beach,16162
Empire Beauty School-Warwick,19633
Empire Beauty School-West Greensboro,16625
Empire Beauty School-West Mifflin,17716
Empire Beauty School-West Palm,17362
Empire Beauty School-Winston-Salem,15478
Empire Beauty School-Wyoming Valley,17467
Empire Beauty School-York,18035
Empire State University,11147
Employment Solutions-College for Technical Education,19115
Emporia State University,15702
Endicott College,39324
Ensign College,10003
Enterprise State Community College,8187
Entourage Institute of Beauty and Esthetics,16906
Eric Fisher Academy,12934
Erie 1 BOCES,11423
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,13555
Erie Community College,6358
Erie Institute of Technology Inc,19173
Erskine College,22018
Erwin Technical College,7086
Escuela De Troqueleria Y Herramentaje,2689
Escuela Hotelera de San Juan,16135
Escuela Tecnica de Electricidad,6252
Escuela de Artes Plasticas y Diseno de Puerto Rico,5231
Escuela de Peritos Electricistas de Isabela Inc,6544
Essex County College,4622
Estelle Medical Academy,9765
Estelle Skin Care and Spa Institute,13837
Estes Institute of Cosmetology Arts and Science,12990
Estrella Mountain Community College,12211
Euphoria Institute of Beauty Arts & Sciences-Summerlin,28513
Eureka College,22048
European Medical School of Massage,27824
Evangel University,18705
Evangel University-College of Online Learning,18354
Evangel University-James River Assembly of God Church,21887
Evans Hairstyling College-Cedar City,13453
Evans Hairstyling College-Rexburg,9349
Evans Hairstyling College-St George,8513
Everett Community College,10627
Everglades University,27704
Evergreen Beauty and Barber College-Everett,16340
Evergreen Valley College,12591
Eves College of Hairstyling,15155
Evolve Beauty Academy,15266
Evvaylois Academy School of Beauty,25564
Exposito School of Hair Design,15547
FIDM-Fashion Institute of Design & Merchandising,41493
FVI School of Nursing and Technology,26818
Fairfield University,46274
Fairleigh Dickinson University-Florham Campus,24415
Fairleigh Dickinson University-Metropolitan Campus,15266
Fairmont State University,9055
Faith Baptist Bible College and Theological Seminary,17819
Faith International University,18361
Falcon Institute of Health and Science,45181
Farmingdale State College,9173
Fashion Institute of Technology,22024
Faulkner University,21165
Faust Institute of Cosmetology-Spirit Lake,5498
Fayette County Career & Technical Institute Practical Nursing Program,23414
Fayette Institute of Technology,5010
Fayetteville State University,7360
Fayetteville Technical Community College,3723
Feather River Community College District,6520
Federico Beauty Institute,25736
Felbry College,63922
Felician University,41315
Ferris State University,12202
Ferrum College,22085
Finger Lakes Community College,14186
First Class Cosmetology School,16411
First Coast Barber Academy,15749
First Coast Technical College,9538
First Institute of Travel Inc.,20410
Fisher College,25702
Fisk University,26135
Fitchburg State University,15432
Five Towns College,20799
Flagler College,29951
Flathead Valley Community College,8723
Fletcher Technical Community College,10689
Flint Hills Technical College,15533
Florence-Darlington Technical College,598
Florida Academy,13236
Florida Academy of Health & Beauty,9457
Florida Academy of Nursing,15028
Florida Agricultural and Mechanical University,15847
Florida Atlantic University,8001
Florida Barber Academy,24713
Florida Career College-Boynton Beach,32348
Florida Career College-Hialeah,34326
Florida Career College-Houston,33884
Florida Career College-Jacksonville,35212
Florida Career College-Lauderdale Lakes,35448
Florida Career College-Margate,33485
Florida Career College-Miami,34275
Florida Career College-Orlando,35232
Florida Career College-Pembroke Pines,31813
Florida Career College-Tampa,35023
Florida Career College-West Palm Beach,34536
Florida College,22527
Florida Education Institute,36440
Florida Gateway College,2915
Florida Gulf Coast University,10319
Florida Institute of Technology,35300
Florida Institute of Technology-Online,25374
Florida International Training Institute,53875
Florida International University,9133
Florida Memorial University,18675
Florida National University-Main Campus,23629
Florida Panhandle Technical College,9063
Florida Polytechnic University,9899
Florida Professional Institute,31590
Florida School of Massage,12902
Florida SouthWestern State College,8249
Florida Southern College,29664
Florida State College at Jacksonville,2760
Florida State University,10997
Focus Personal Training Institute,18870
Folsom Lake College,3661
Fond du Lac Tribal and Community College,10704
Fontbonne University,18251
Foothill College,7549
Fordham University,42581
Formations Institute,17316
Formations Institute of Cosmetology & Barbering,18536
Forsyth Technical Community College,6342
Fort Hays State University,13493
Fort Lewis College,17339
Fort Myers Technical College,14072
Fort Peck Community College,2449
Fort Pierce Beauty Academy,19631
Fort Scott Community College,665
Fort Valley State University,11609
Fort Worth Beauty School,18377
Fortis College,21159
Fortis College,27972
Fortis College-Baton Rouge,23826
Fortis College-Centerville,24335
Fortis College-Cincinnati,23813
Fortis College-Columbia,27508
Fortis College-Columbus,27674
Fortis College-Cutler Bay,26089
Fortis College-Cuyahoga Falls,26023
Fortis College-Dothan,19325
Fortis College-Indianapolis,28374
Fortis College-Landover,26956
Fortis College-Montgomery,19380
Fortis College-Norfolk,29556
Fortis College-Orange Park,23665
Fortis College-Richmond,19803
Fortis College-Salt Lake City,25803
Fortis College-Smyrna,24705
Fortis Institute,15326
Fortis Institute-Birmingham,22914
Fortis Institute-Cookeville,24118
Fortis Institute-Forty Fort,19532
Fortis Institute-Lawrenceville,18433
Fortis Institute-Nashville,29669
Fortis Institute-Pensacola,24076
Fortis Institute-Port Saint Lucie,25465
Fortis Institute-Scranton,24235
Fortis Institute-Towson,25346
Fortis Institute-Wayne,22441
Fosbre Academy of Hair Design,20039
Fosters Cosmetology College,18199
Fountain of Youth Academy of Cosmetology,30608
Four Rivers Career Center,19167
Fox College,13506
Fox Valley Technical College,10910
Framingham State University,16698
Francis Marion University,13451
Francis Tuttle Technology Center,4999
Franciscan Missionaries of Our Lady University,17797
Franciscan University of Steubenville,23987
Frank Phillips College,10803
Franklin College,22762
Franklin County Career and Technology Center,19823
Franklin Hair Academy School of Cosmetology,22321
Franklin Pierce University,26906
Franklin Technology Center Adult Education,25251
Franklin University,22605
Franklin W Olin College of Engineering,20575
Franklin and Marshall College,39061
Fred K Marchman Technical College,7938
Fred W Eberle Technical Center,2268
Frederick Community College,2801
Fredrick and Charles Beauty College,14402
Freed-Hardeman University,20082
Fremont University,32256
French Academy of Cosmetology,8284
Fresno City College,1699
Fresno Pacific University,14317
Friends University,25752
Front Range Community College,10854
Frontier Community College,10611
Frostburg State University,15323
Full Sail University,31759
Fullerton College,8090
Fulton-Montgomery Community College,7803
Furman University,29997
Futura Career Institute,22298
G Skin & Beauty Institute,21142
G Skin & Beauty Institute,26480
GA Beauty & Barber School,25426
Gadsden State Community College,3568
Gadsden Technical College,3866
Galaxy Medical College,11331
Galen College of Nursing-ARH,22209
Galen College of Nursing-Cincinnati,29150
Galen College of Nursing-San Antonio,29824
Galen College of Nursing-Tampa Bay,29598
Galen Health Institutes-Asheville,77180
Galen Health Institutes-Austin Campus,26825
Galen Health Institutes-Gainesville,48507
Galen Health Institutes-Miami Campus,29154
Galen Health Institutes-Myrtle Beach,41961
Galen Health Institutes-Nashville Campus,27306
Galen Health Institutes-Pikeville,34827
Galen Health Institutes-Richmond,40766
Galen Health Institutes-Sarasota,49673
Gallaudet University,14085
Galveston College,8127
Gannon University,23206
Garden City Community College,8681
Garden State Science and Technology Institute,24759
Gardner-Webb University,24137
Garrett College,6396
Gaston College,5752
GateWay Community College,12871
GateWay Community College-Central City,4239
Gateway Community and Technical College,5897
Gateway Technical College,8667
Gavilan College,2244
Gem City College,13443
Gemological Institute of America-Carlsbad,31435
Gemological Institute of America-New York,35223
Generations College,19558
Genesee Community College,7989
Genesee Valley BOCES-Practical Nursing Program,21994
Genesis Career College-Cookeville,13597
Genesis Career College-Lebanon,15513
Geneva College,21043
George C Wallace Community College-Dothan,2697
George C Wallace State Community College-Hanceville,14042
George C Wallace State Community College-Selma,970
George Fox University,29981
George Mason University,18287
George Stone Technical College,9098
George T Baker Aviation Technical College,6984
George Washington University,37454
Georgetown College,13485
Georgetown University,39433
Georgia Career Institute,16052
Georgia College & State University,18809
Georgia Gwinnett College,11696
Georgia Highlands College,6588
Georgia Institute of Cosmetology,13000
Georgia Institute of Technology-Main Campus,13289
Georgia Military College,14693
Georgia Northwestern Technical College,1432
Georgia Piedmont Technical College,7210
Georgia Southern University,16531
Georgia Southwestern State University,12052
Georgia State University,15931
Georgia State University-Perimeter College,10102
Georgian Court University,20218
Gerbers Akron Beauty School,8754
Germanna Community College,6239
Gettysburg College,30086
Glen Dow Academy of Hair Design,10122
Glen Oaks Community College,7930
Glendale Career College,46212
Glendale Career College-North-West College-Bakersfield,49781
Glendale Community College,12158
Glendale Community College,7461
Glenville State University,16358
Glitz School of Cosmetology,8298
Global Medical & Technical Training Institute,33927
Global Tech College,8602
Gnomon,45824
Goddard College,30152
Gods Bible School and College,3138
Gogebic Community College,5216
Golden West College,2861
Goldey-Beacom College,16957
Gonzaga University,36371
Good Samaritan College of Nursing and Health Science,22626
GoodFellas Barber College,18027
Goodwin University,28544
Gordon College,24817
Gordon Cooper Technology Center,4513
Gordon State College,8918
Goshen College,15725
Goshen School of Cosmetology,13439
Goucher College,23774
Gould's Academy,11205
Gould's Academy,17964
Governors State University,9477
Grabber School of Hair Design,12981
Grace Christian University,13996
Grace College and Theological Seminary,18406
Grace International Beauty School,14925
Graceland University-Lamoni,15975
Graduate America College,15171
Graham Hospital School of Nursing,19888
Graham's Barber College,17490
Grambling State University,19125
Grand Canyon University,21931
Grand Rapids Community College,11153
Grand River Technical School,10908
Grand Valley State University,17096
Grand View University,21616
Grays Harbor College,3149
Grayson College,4984
Great Basin College,7523
Great Bay Community College,18587
Great Falls College Montana State University,10632
Great Lakes Boat Building School,26464
Great Lakes Christian College,18700
Great Lakes Institute of Technology,18299
Great Northern University,31680
Great Oaks Career Campuses,10911
Great Plains Technology Center,9557
Greater Altoona Career & Technology Center,13906
Greater Johnstown Career and Technology Center,14724
Greater Lowell Technical School,22505
Green River College,12447
Greene County Career Center,10960
Greene County Career and Technology Center,18315
Greenfield Community College,8081
Greensboro College,19314
Greenville Technical College,6246
Greenville University,21270
Grinnell College,15608
Grossmont College,2755
Guam Community College,4620
Guilford College,21200
Guilford Technical Community College,13926
Gulf Coast State College,2339
Gupton Jones College of Funeral Service,21563
Gurnick Academy of Medical Arts,30558
Gustavus Adolphus College,26895
Gwinnett College,31448
Gwinnett College-Lilburn,27010
Gwinnett College-Marietta Campus,32181
Gwinnett College-Sandy Springs,28510
Gwinnett Institute,31423
Gwinnett Technical College,12599
Gwynedd Mercy University,27141
H Councill Trenholm State Community College,5568
H W Brewster Technical College,10053
HCA Florida Mercy Hospital School of Practical Nursing,9672
HCI College,29461
HVAC Technical Institute,23216
Hacienda La Puente Adult Education,4211
Hagerstown Community College,7672
Hair Academy,20049
Hair Academy II,22667
Hair Academy School of Barbering & Beauty,16893
Hair Arts Institute,23666
Hair Professionals Career College,21085
Hair Professionals Career College,19137
Hair Professionals School of Cosmetology,19759
Hairmasters Institute of Cosmetology,8130
Halifax Community College,4073
Hallmark University,11130
Hamilton College,28314
Hamline University,21385
Hampden-Sydney College,24668
Hampshire College,25810
Hampton University,32145
Hamrick School,4428
Hands on Therapy,15464
Hannah E Mullins School of Practical Nursing,21107
Hannibal-LaGrange University,21123
Hanover College,21826
Harcum College,24791
Hardin-Simmons University,21031
Harding University,20579
Harford Community College,9953
Harmony Health Care Institute,42927
Harris-Stowe State University,13459
Harrisburg Area Community College,12117
Harrisburg University of Science and Technology,13766
Hartnell College,2895
Hartwick College,29800
Harvard University,16816
Harvey Mudd College,32492
Haskell Indian Nations University,3031
Hastings Beauty School,15356
Hastings College,21554
Hatfield's Mississippi College of Beauty Culture,33969
Haverford College,25210
Hawaii Community College,7369
Hawaii Institute of Hair Design,13238
Hawaii Medical College,35048
Hawaii Pacific University,30557
Hawkeye Community College,10298
Hays Academy of Hair Design,14744
Hays Academy of Hair Design,13806
Haywood Community College,3834
Hazard Community and Technical College,3376
Hazleton Area Career Center,12861
Headmasters School of Hair Design,13037
Healing Hands School of Holistic Health,56381
Healing Mountain Massage School,23180
Health And Style Institute,37514
Health and Technology Training Institute,24653
Healthcare Career College,14534
Healthcare Training Institute,5699
Healthcare Training Institute,22975
Heartland Community College,11389
Heartland Welding Academy,20694
Hebrew Theological College,11197
Heidelberg University,21662
Helena College University of Montana,14455
Helene Fuld College of Nursing,37732
Hellenic College-Holy Cross Greek Orthodox School of Theology,14334
Helms College,21117
Henderson Community College,5063
Henderson State University,16929
Hendrix College,23409
Hennepin Technical College,10925
Henry Ford College,576
Heritage Bible College,14219
Heritage University,11893
Herkimer County BOCES-Practical Nursing Program,15867
Herkimer County Community College,10530
Herzing University-Akron,20320
Herzing University-Atlanta,21757
Herzing University-Birmingham,20957
Herzing University-Brookfield,18796
Herzing University-Kenosha,17613
Herzing University-Madison,20319
Herzing University-Minneapolis,15205
Herzing University-New Orleans,21090
Herzing University-Orlando,19758
Herzing University-Tampa,20486
Hesston College,21458
High Desert Medical College,27890
High Plains Technology Center,7057
High Point University,40721
Highland Community College,5359
Highland Community College,10388
Highlands College of Montana Tech,12184
Highline College,10878
Hilbert College,22100
Hill College,6615
Hillsborough Community College,4929
Hillsdale Beauty College,15148
Hinds Community College,3158
Hinton Barber and Beauty College,15550
Hiram College,20088
Hobart Institute of Welding Technology,20705
Hobart William Smith Colleges,31057
Hobe Sound Bible College,10888
Hocking College,13362
Hodges University,22602
Hofstra University,35129
Hogan Institute of Cosmetology and Esthetics,30110
Hohokus School of Trade and Technical Sciences,22064
Hollins University,22263
Hollywood Institute,18627
Hollywood Institute of Beauty Careers,18597
Hollywood Institute of Beauty Careers-Casselberry,17903
Hollywood Institute of Beauty Careers-West Palm Beach,19109
Holmes Community College,5980
Holy Apostles College and Seminary,16073
Holy Cross College,26470
Holy Family University,12251
Holy Name Medical Center-Sister Claire Tynan School of Nursing,21187
Holyoke Community College,6860
Homestead Schools,15845
Hondros College of Nursing,29682
Honolulu Community College,6399
Hood College,23707
Hope College,25749
Hope College of Arts and Sciences,13949
Hope International University,27653
Hopkinsville Community College,3939
Horry-Georgetown Technical College,3719
Hoss Lee Academy,24417
Hot Springs Beauty College,10792
Houghton University,21148
House of Heavilin Beauty College-Blue Springs,21832
House of Heavilin Beauty College-Kansas City,21470
Houston Barber School,14760
Houston Christian University,19710
Houston Community College,6738
Houston International College Cardiotech Ultrasound School,19158
Houston Training School-Main Campus,6142
Houston Training Schools-Gessner,7354
Howard College,7681
Howard Community College,10225
Howard Payne University,25255
Howard University,47919
Hudson County Community College,5902
Hudson Valley Community College,7118
Huertas College,9104
Hult International Business School,42402
Humacao Community College,2879
Humphreys University-Stockton and Modesto Campuses,11410
Hunter Business School,25136
Huntingdon College,21401
Huntington Junior College,10729
Huntington School of Beauty Culture,10583
Huntington University,13710
Huntsville Bible College,11562
Husson University,20798
Huston-Tillotson University,19847
Hutchinson Community College,5300
Hypnosis Motivation Institute,42523
IBMC College,23382
IBS School of Cosmetology and Massage,7688
ICOHS College,58899
ICPR Junior College,5196
ICPR Junior College,5907
ICPR Junior College-Arecibo,4863
ICPR Junior College-Mayaguez,5426
ITI Technical College,19862
IVAEM College,9314
IYRS School of Technology & Trades,18436
Idaho State University,17324
Ideal Beauty Academy,21937
Ideal Beauty Academy,21459
Ilisagvik College,5542
Illinois Central College,11510
Illinois College,17945
Illinois Institute of Technology,19353
Illinois Media School,28935
Illinois Media School-Chicago Campus,26038
Illinois State University,18996
Illinois Valley Community College,3957
Illinois Wesleyan University,29550
Image Maker Beauty Institute,15296
Immaculata University,29464
Immokalee Technical College,-120
Imperial Valley College,1697
Independence Community College,6262
Independent Training & Apprenticeship Program,22276
Indian Bible College,5068
Indian Capital Technology Center-Muskogee,6352
Indian Hills Community College,7492
Indian River State College,5202
Indiana County Technology Center,11553
Indiana Institute of Technology,21318
Indiana Institute of Technology-College of Professional Studies,19086
Indiana State University,12188
Indiana University of Pennsylvania-Main Campus,17216
Indiana University-Bloomington,15342
Indiana University-East,9082
Indiana University-Indianapolis,11408
Indiana University-Kokomo,6276
Indiana University-Northwest,5970
Indiana University-South Bend,8364
Indiana University-Southeast,8257
Indiana Wesleyan University-Marion,23069
Indiana Wesleyan University-National & Global,16767
Industrial Management Training Institute,49117
Industrial Technical College,3767
Innovate Salon Academy,38617
Innovate Salon Academy,30319
Installer Institute,24928
Institucion Chaviano de Mayaguez,4482
Institute for Business and Technology,25471
Institute of Advanced Medical Esthetics,11317
Institute of Allied Healthcare,5403
Institute of American Indian and Alaska Native Culture and Arts Development,12322
Institute of Beauty Careers,5162
Institute of Health Sciences,22028
Institute of Medical Careers,20376
Institute of Medical Ultrasound,53558
Institute of Technology,23027
Institute of Technology,33197
Instituto Educativo Premier,10907
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,3510
Instituto Tecnologico de Puerto Rico-Recinto de Manati,2407
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,1067
Integrated Massage Therapy Services,9027
Integrity College of Health,18132
Intellitec College-Colorado Springs,22051
Intellitec College-Grand Junction,16656
Inter American University of Puerto Rico-Aguadilla,7607
Inter American University of Puerto Rico-Arecibo,8036
Inter American University of Puerto Rico-Barranquitas,7382
Inter American University of Puerto Rico-Bayamon,8783
Inter American University of Puerto Rico-Fajardo,8787
Inter American University of Puerto Rico-Guayama,8932
Inter American University of Puerto Rico-Metro,8964
Inter American University of Puerto Rico-Ponce,8245
Inter American University of Puerto Rico-San German,9034
InterAmerican Technical Institute,29741
InterCoast Colleges-Fairfield,23134
InterCoast Colleges-Rancho Cordova,23629
InterCoast Colleges-Riverside,23880
InterCoast Colleges-West Covina,23693
Interactive College of Technology,13358
Interactive College of Technology,12441
Interactive College of Technology,14474
Interactive College of Technology-Chamblee,13775
Interactive College of Technology-Gainesville,14834
Interactive College of Technology-Morrow,14970
Interactive College of Technology-Newport,15239
International Academy,19071
International Academy of Style,20891
International Air and Hospitality Academy,26404
International Baptist College and Seminary,16828
International Barber College,17929
International Beauty Education Center,17500
International Beauty School 4,14581
International Business College-Indianapolis,14989
International College of Beauty Arts & Sciences,21390
International College of Broadcasting,18284
International College of Cosmetology,1973
International Institute of Cosmetology,16901
International Salon and Spa Academy,20904
International School of Beauty Inc,13450
International School of Skin Nailcare & Massage Therapy,36205
Inver Hills Community College,10651
Iona University,27951
Iowa Central Community College,9601
Iowa Lakes Community College,10846
Iowa School of Beauty-Des Moines,10298
Iowa School of Beauty-Sioux City,9798
Iowa State University,18165
Iowa Western Community College,11574
Irene's Myomassology Institute,29947
Irvine Valley College,1886
Isabella Graham Hart School of Practical Nursing,16121
Island Drafting and Technical Institute,21392
Isothermal Community College,6723
Itawamba Community College,5034
Ithaca College,32965
Ivy Tech Community College,6544
J D Academy of Salon and Spa,32703
J Michael Harrold Beauty Academy,21420
J Sargeant Reynolds Community College,4553
J's Barber College,16344
J. F. Drake State Community and Technical College,4644
JB's Hair Design and Barber College,18127
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,33035
JT's Cuts Academy,28017
Jackson College,7657
Jackson State Community College,7343
Jackson State University,20191
Jacksonville College-Main Campus,11674
Jacksonville State University,14850
Jacksonville University,26255
James A. Rhodes State College,8851
James Madison University,21816
James Rumsey Technical Institute,12242
James Sprunt Community College,3852
Jamestown Business College,7732
Jamestown Community College,9507
Jarvis Christian University,10409
Jay's Technical Institute,16306
Jazz Barber and Hairstyling Academy,9183
Jean Madeline Aveda Institute,20629
Jefferson College,7734
Jefferson Community College,11012
Jefferson Community and Technical College,6058
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,8428
Jefferson State Community College,9024
Jenks Beauty College,11344
Jersey College,28490
Jewish Theological Seminary of America,29744
Jna Institute of Culinary Arts,16679
John A Gupton College,19772
John A Logan College,7599
John Amico School of Hair Design,16726
John Brown University,21144
John C Calhoun State Community College,7336
John Carroll University,28617
John D Rockefeller IV Career Center,6874
John Jay Beauty College,6624
John Patrick University of Health and Applied Sciences,23304
John Paul the Great Catholic University,29124
John Wesley International Barber and Beauty College,12735
John Wood Community College,6596
Johnny Matthew's Hairdressing Training School,25124
Johns Hopkins University,18161
Johnson & Wales University-Charlotte,28901
Johnson & Wales University-Online,21611
Johnson & Wales University-Providence,32478
Johnson C Smith University,20011
Johnson College,19826
Johnson County Community College,13912
Johnson University,20303
Johnson University Florida,22226
Johnston Community College,3946
Joliet Junior College,5741
Jones County Junior College,7945
Jones Technical Institute,20833
Josef's School of Hair Skin & Body-Fargo,14285
Josef's School of Hair Skin & Body-Grand Forks,14324
Joseph's College Cosmetology,10513
Joyce University of Nursing and Health Sciences,31013
Judson University,25027
Juniata College,27663
Jupiter Beauty Academy,11860
KC Beauty Academy,17796
KC's School of Hair Design,9661
KCK Beauty & Barber Academy,18914
KD Conservatory College of Film and Dramatic Arts,24148
KaiStar,9444
