INSTNM,NPT4_COMBINED
Arkansas Northeastern College,5144
Arkansas State University,13085
Arkansas State University Mid-South,3558
Arkansas State University Three Rivers,7520
Arkansas State University-Beebe,8652
Arkansas State University-Mountain Home,9659
Arkansas State University-Newport,9730
Arkansas Tech University,12171
Arkansas Technical School,35353
Arkansas Welding Academy,32263
Arlington Baptist University,28599
Arlington Career Institute,24339
Arnolds Beauty School,10343
Arnot Ogden Medical Center,19982
Arrojo Cosmetology School,22811
Art Academy of Cincinnati,38041
Art Center College of Design,50209
Arthur's Beauty College,12008
Arthur's Beauty College,14115
Arthur's Beauty College,12905
Artistic Academy of Hair Design,23786
Artistic Nails and Beauty Academy-Lakeland,16056
Artistic Nails and Beauty Academy-Tampa,12808
Asbury University,20428
Asher College,16924
Asher Institute of Hampton,19593
Asheville-Buncombe Technical Community College,12851
Ashford University,25321
Ashland Community and Technical College,4907
Ashland County-West Holmes Career Center,15188
Ashland University,21994
Ashtabula County Technical and Career Campus,9872
Aspen Beauty Academy of Laurel,10624
Assabet Valley Regional Technical School,36348
Associated Barber College of San Diego,20688
Associated Beth Rivkah Schools,18192
Associated Technical College-Los Angeles,22236
Associated Technical College-San Diego,24674
Assumption University,28853
Atelier Esthetique Institute of Esthetics,13529
Atenas College,6544
Athena Career Academy,25171
Athens Technical College,5876
Atlanta Institute of Music and Media,32699
Atlanta Metropolitan State College,5090
Atlanta School of Massage,27774
Atlanta Technical College,-864
Atlantic Cape Community College,8502
Atlantic Technical College,13018
Atlantic University,6305
Atlantis University,20767
Auburn Career Center,6969
Auburn University,23897
Auburn University at Montgomery,14596
Augsburg University,23875
Augusta School of Massage,14371
Augusta Technical College,8509
Augusta University,13347
Augustana College,12437
Augustana University,24723
Auguste Escoffier School of Culinary Arts-Austin,20738
Auguste Escoffier School of Culinary Arts-Boulder,12193
Aultman College of Nursing and Health Sciences,21873
Aurora University,18992
Austin Career Institute,19530
Austin College,23451
Austin Community College District,6306
Austin Kade Academy,15198
Austin Peay State University,14846
Austin's Beauty College Inc,16069
Automeca Technical College-Aguadilla,2976
Automeca Technical College-Bayamon,2858
Automeca Technical College-Caguas,3035
Automeca Technical College-Ponce,2583
Automotive Training Center-Exton,11732
Automotive Training Center-Warminster,13761
Avalon Institute-Aurora,16882
Avalon Institute-Las Vegas,14623
Avalon Institute-Layton,18945
Avalon Institute-Mesa,16847
Avalon Institute-Phoenix,16689
Avalon School of Cosmetology,13095
Ave Maria University,23655
Aveda Arts & Sciences Institute Lafayette-Arlington,23448
Aveda Arts & Sciences Institute Minneapolis,20690
Aveda Arts & Sciences Institute Seattle,30692
Aveda Arts & Sciences Institute-Baton Rouge,20934
Aveda Arts & Sciences Institute-Covington,23626
Aveda Arts & Sciences Institute-New York,27064
Aveda Arts & Sciences Institute-San Antonio,24217
Aveda Fredric's Institute-Cincinnati,19015
Aveda Fredric's Institute-Indianapolis,23187
Aveda Institute Montana,17582
Aveda Institute Portland-Vancouver Campus,18476
Aveda Institute Tucson-Avondale,19718
Aveda Institute-Boise,17804
Aveda Institute-Chapel Hill,21152
Aveda Institute-Chicago,32988
Aveda Institute-Columbus,19538
Aveda Institute-Denver,21495
Aveda Institute-Des Moines,15155
Aveda Institute-Fort Myers,27723
Aveda Institute-Madison,13950
Aveda Institute-Maryland,12253
Aveda Institute-New Mexico,16998
Aveda Institute-Phoenix,22297
Aveda Institute-Portland,12108
Aveda Institute-Provo,16910
Aveda Institute-South Florida,25216
Aveda Institute-Tallahassee,22727
Aveda Institute-Tucson,21037
Aveda Institute-Twin Falls,24647
Avenue Academy A Cosmetology Institute,14819
Avenue Five Institute,26507
Avenue Five Institute-South Austin Campus,23773
Averett University,23262
Avery James College,17278
Avi Career Training,16607
Aviation Institute of Maintenance-Atlanta,24592
Aviation Institute of Maintenance-Charlotte,21256
Aviation Institute of Maintenance-Chicago,24862
Aviation Institute of Maintenance-Dallas,26227
Aviation Institute of Maintenance-Fremont,25273
Aviation Institute of Maintenance-Houston,23284
Aviation Institute of Maintenance-Indianapolis,30293
Aviation Institute of Maintenance-Kansas City,27159
Aviation Institute of Maintenance-Las Vegas,25155
Aviation Institute of Maintenance-Manassas,24834
Aviation Institute of Maintenance-Norfolk,22841
Aviation Institute of Maintenance-Orlando,22952
Aviation Institute of Maintenance-Philadelphia,21244
Aviation Institute of Maintenance-Teterboro,22592
Aviator College of Aeronautical Science and Technology,40694
Avila University,16939
Award Beauty School,20744
Ayers Career College,17824
Azusa Pacific University,19798
B M Spurr School of Practical Nursing,9956
BK Cosmo College of Cosmetology,17919
Babson College,38876
Bacone College,12197
Bais Binyomin Academy,18646
Bais HaMedrash and Mesivta of Baltimore,9482
Bais Medrash Mayan Hatorah,11297
Bais Medrash Toras Chesed,6505
Bais Medrash of Dexter Park,24711
Baker College,15171
Baker University,22500
Bakersfield College,4751
Baldwin Beauty School-North Austin,17710
Baldwin Beauty School-South Austin,16878
Baldwin Park Adult & Community Education,7450
Baldwin Wallace University,27654
Ball State University,15898
Baltimore City Community College,9769
Baltimore Studio of Hair Design,17001
Baptist Health College Little Rock,34755
Baptist Health Sciences University,13401
Baptist University of Florida,8829
Baptist University of the Americas,8750
Barber & Beauty Institute of New York,15939
Barber Education Academy,8748
Barber Institute of Texas,10208
Barber School of Pittsburgh,18910
Barber Tech Academy,20283
Barber and Beauty Academy of Pennsylvania,10014
Barbers Trade School,13387
Barclay College,28827
Bard College,31771
Bard College at Simon's Rock,36684
Barnard College,39253
Barry University,22978
Barstow Community College,12347
Barton College,23665
Barton County Community College,11865
Bates College,30703
Bates Technical College,4176
Baton Rouge Community College,10171
Bay Area Medical Academy,25327
Bay Mills Community College,4282
Bay Path University,14590
Bay de Noc Community College,9766
Baylor University,41942
Bayshire Academy of Beauty Craft Inc,4309
Be'er Yaakov Talmudic Seminary,4843
Beacon College,36576
Beal University,33857
Beau Monde Academy of Barbering and Cosmetology,28192
Beaufort County Community College,5105
Beaumont Adult School,30407
Beauty Academy of South Florida,13555
Beaver Beauty Academy,11027
Beckfield College-Florence,27539
Beis Medrash Heichal Dovid,7125
Bel-Rea Institute of Animal Technology,24961
Belanger School of Nursing,24119
Belbo Beauty Institute,23914
Belhaven University,22078
